item_id,item_name,product_code
250622,A.a Nail Polish 11 ML # 000,100145
250678,A.a Nail Polish Shine Plus 5.5 ML # 10,100146
250693,A.a Palet Eye Shadow 3.8 GM # 01,100147
231113,A&a Peanut Butter Chocolate 510 G,100148
139030,A&a Peanut Butter Creamy 227 G,100149
231117,A&a Peanut Butter Creamy S.free 340 G,100150
231121,A&a Peanut Butter Crunchy 340 G,100151
231119,A&a Peanut Butter Crunchy S.free 340 G,100152
250788,A.a Pearl Drops 20 GM # 120,100153
250689,A.a Quatro Eye Shadow 6.2 GM # 305,100154
250794,A.a Terracotta 27 GM # 01,100155
250778,A.a Terracotta Blushon # 01,100156
250701,A.a Terracotta Mono Eye Shadow # 101,100157
250725,A.a Terracotta Quatro Eye Shadow # 401,100158
250717,A.a Terracotta Twin Eye Shadow # 201,100159
250746,A.a Volumatic Mascara 10 ML # Blue,100160
197472,A+ Aloe Vera Blueberry Drink 500 ML,100161
196995,A+ Aloe Vera Drink 1500 ML,100162
197377,A+ Aloe Vera Original Drink 1500 ML,100163
265100,A.b.crm.soap Value Off),100164
244219,A. B. Diavolo Edt 50 ML Spray,100165
192567,A.bear 356),100166
192569,A.bear Angelbabyfeedbottle 357),100167
113049,A Blueslush,100168
89694,A Brzebrerry,100169
272569,A C I Salt,100170
98825,A C Pen Holder,100171
88300,A Cherryslush,100172
88251,A Cosmic Stardust,100173
252605,A 1 Cotton Buds,100174
88391,A Dragon,100175
88390,A Halfnhalf,100176
212501,A+hosan Bread Crumbs 200 G,100177
56771,A J Pancake Syru,100178
76553,A.k Egg Whisk L,100179
76224,A.k Fruit Peeler,100180
51925,A.k Lemon Squeezer Golden Color 1 Pcs,100181
91311,A Orange Kiss,100182
57892,A.1. Orig Stk SC,100183
88785,A Pinkslush,100184
265097,A.s.crm.soap Value Off),100185
107886,A S Yelow,100186
88136,A Shaved Ice,100187
108849,A Sherbet,100188
58729,A.spirit Dark Green,100189
135627,A 1 Steak Sauce 5 OZ (us),100190
5682,A&w Cream Soda 320 ML MY,100191
5610,A & W Cream Soda 355 ML US,100192
185910,A&w Root Beer 355 ML,100193
198146,A&w Sarsaparilla Can 250 Ml(bogof),100194
132290,A&w Sarsaparilla Root Beer Can 325±5 ML,100195
5756,A & W Sparking Flavoured Drink 320 ML,100196
88451,A Watermelon,100197
211348,A1 Sauce 240 G (uk),100198
9247,A1 Sauce 240 GM GB,100199
62562,A3 Edible Paper,100200
62563,A4 Blank Sticker,100201
62564,A4 Edible Paper,100202
62565,A4 Paper,100203
275029,A4 Paper Bashundhara,100204
273437,A4 Paper – 70 Gsm,100205
107884,A4 Paper Plain 10 Pieces,100206
277364,A4 Tech Gaming Mouse,100207
60501,AA Batteries,100208
80770,Aaa Battery,100209
133012,Aabesh M.blend Black G G F),100210
133058,Aabesh M.blend G G.water Pot F.),100211
132960,Aabesh Magic Blend Black Tea 200 G(bogof),100212
9773,Aadi Honey Mustard 500 G Jar,100213
222389,Aafi Chanachur Hot 80 G,100214
108355,Aafi Mango,100215
100101,Aafi Mango Bar (10x10 G),100216
6768,Aafi Mango Fruit Drink 500 ML,100217
