item_id,item_name,product_code
33992,7up Light Pet Bottle 250 ML,100152
5730,7up Lite 250 ML,100153
33993,7up Lite Pet 600 ML,100154
33988,7up 2.25 Ltr,100155
76836,7up Pet 200 ML,100156
33989,7up Pet Bottle 200 ML,100157
113919,7up Pet Bottle 1.7 5ltr.,100158
33987,7up Regular Bottle 1 L,100159
88515,7up Zero,100160
132741,7up Zero Sugar 250 ML Can,100161
132885,7up Zero Sugar 250 ML Pet,100162
190670,8k+ Whitening Night Cream,100163
101002,8oz Food Feeder,100164
133001,9am Blue Curaca 750 ML IN,100165
133003,9am Fruit Punch Syrup 750 ML IN,100166
133002,9am Green Apple Syrup 750 ML IN,100167
133000,9am Lime & Mint Mojito 750 ML IN,100168
252761,9to9 Pour Homme Edt 100 ML,100169
10147,A & A Chocolate Peanut Butter 227 G IN,100170
250762,A.a Compact Powder 10 GM # 101,100171
10141,A & A Creamy Peanut Butter 227 G IN,100172
10150,A & A Creamy Peanut Suger Free 340 G IN,100173
10144,A & A Crunchy Peanut Butter 227 G IN,100174
10151,A & A Crunchy Peanut Suger Free 340 G IN,100175
250580,A.a Eko Kit Hair Dye 60 ML # 1.0,100176
250744,A.a Eye Brow Pencil 2 GM # 01,100177
250729,A.a Eye Pencil 1 GM # 301,100178
250790,A.a Foundation 30 ML # 102,100179
250610,A.a Lip Pencil 1 GM # 315,100180
250608,A.a Lipgloss 8 ML # 797,100181
250687,A.a Mono Eye Shadow 4.5 GM # 204,100182
250770,A.a Multicolor Powder # 01,100183
142979,A.a Nail Care 10 ML Aromatic Oil,100184
250680,A.a Nail Deco 11 ML Black,100185
250682,A.a Nail Deco 11 ML Pink,100186
250683,A.a Nail Deco 11 ML White,100187
250622,A.a Nail Polish 11 ML # 000,100188
250678,A.a Nail Polish Shine Plus 5.5 ML # 10,100189
250693,A.a Palet Eye Shadow 3.8 GM # 01,100190
231113,A&a Peanut Butter Chocolate 510 G,100191
139030,A&a Peanut Butter Creamy 227 G,100192
231117,A&a Peanut Butter Creamy S.free 340 G,100193
231121,A&a Peanut Butter Crunchy 340 G,100194
231119,A&a Peanut Butter Crunchy S.free 340 G,100195
250788,A.a Pearl Drops 20 GM # 120,100196
250689,A.a Quatro Eye Shadow 6.2 GM # 305,100197
250794,A.a Terracotta 27 GM # 01,100198
250778,A.a Terracotta Blushon # 01,100199
250701,A.a Terracotta Mono Eye Shadow # 101,100200
250725,A.a Terracotta Quatro Eye Shadow # 401,100201
250717,A.a Terracotta Twin Eye Shadow # 201,100202
250746,A.a Volumatic Mascara 10 ML # Blue,100203
197472,A+ Aloe Vera Blueberry Drink 500 ML,100204
196995,A+ Aloe Vera Drink 1500 ML,100205
197377,A+ Aloe Vera Original Drink 1500 ML,100206
244219,A. B. Diavolo Edt 50 ML Spray,100207
192569,A.bear Angelbabyfeedbottle Ab17(113 357),100208
192567,A.bear Health&acumenab10 Nipple(113 356),100209
192571,A.bear Lovelybabyfeedbottleab21(113 358),100210
113049,A Blueslush,100211
89694,A Brzebrerry,100212
272569,A C I Salt,100213
98825,A C Pen Holder,100214
88300,A Cherryslush,100215
88251,A Cosmic Stardust,100216
252605,A 1 Cotton Buds,100217
88391,A Dragon,100218
88390,A Halfnhalf,100219
212501,A+hosan Bread Crumbs 200 G,100220
56771,A J Pancake Syru,100221
76553,A.k Egg Whisk L,100222
76224,A.k Fruit Peeler,100223
51925,A.k Lemon Squeezer Golden Color 1pc,100224
91311,A Orange Kiss,100225
57892,A.1. Orig Stk SC,100226
88785,A Pinkslush,100227
107886,A S Yelow,100228
88136,A Shaved Ice,100229
108849,A Sherbet,100230
58729,A.spirit Dark Green,100231
135627,A 1 Steak Sauce 5oz (us),100232
5682,A&w Cream Soda 320 ML MY,100233
5610,A & W Cream Soda 355 ML US,100234
185910,A&w Root Beer 355 ML,100235
198146,A&w Sarsaparilla Can 250 Ml(bogof),100236
132290,A&w Sarsaparilla Root Beer Can 325±5 ML,100237
5756,A & W Sparking Flavoured Drink 320 ML,100238
88451,A Watermelon,100239
211348,A1 Sauce 240 G (uk),100240
9247,A1 Sauce 240 GM GB,100241
62562,A3 Edible Paper,100242
62563,A4 Blank Sticker,100243
62564,A4 Edible Paper,100244
62565,A4 Paper,100245
275029,A4 Paper Bashundhara,100246
273437,A4 Paper – 70 Gsm,100247
107884,A4 Paper Plain 10 Pieces,100248
277364,A4 Tech Gaming Mouse,100249
60501,AA Batteries,100250
80770,Aaa Battery,100251
