itemA,itemB,co_purchase_count
ACI Pure Salt-1Kg,Freedom Heavy Flow Wings-16pads,2
ACI Pure Salt-1Kg,Golden Raisin (Kismis)-200gm,2
ACI Pure Salt-1Kg,Jhok Mok Dish Wash Bar 100g B3 G1,2
ACI Pure Salt-1Kg,Kolson Vermicelli-200g,2
ACI Pure Salt-1Kg,Ladies Finger (Vendi)-kg,2
ACI Pure Salt-1Kg,Maggi Healthy Thai Soup-35g,2
ACI Pure Salt-1Kg,Meril Splash Milk & Kiwi Soap-100gm,2
ACI Pure Salt-1Kg,Mug Pulse (Sona)-1kg,2
ACI Pure Salt-1Kg,Musur Pulse Kangaroo -1Kg (sp),2
ACI Pure Salt-1Kg,Parboil (Potol)-kg,2
ACI Pure Salt-1Kg,Pop Corn(Khai Bhutta)-500gm,2
ACI Pure Salt-1Kg,Poppers Corn-Coco Chips-25gm,2
ACI Pure Salt-1Kg,Potato Deshi New-1kg,2
ACI Pure Salt-1Kg,Radhuni Biriyani Masala-40g,2
ACI Pure Salt-1Kg,Radhuni Garam Masala-40gm,2
ACI Pure Salt-1Kg,Rin Advanced-500gm,2
ACI Pure Salt-1Kg,Teer Suji 500gm,2
ACI Pure Salt-1Kg,Tomato L.C(kg),2
ACI Pure Salt-1Kg,Trix Lemon Soap - 300g,2
ACI Pure Salt-1Kg,Vermicelli Samai-200gm,2
ACI Pure Salt-1Kg,Wheel Laundry Soap 125g,2
Aarong Pasturized Liquid Milk-1Ltr Reg.,Akher Sugar -1kg,2
Aarong Sliced Cheese Classic- 204g,Ginger Barmiz-(Kg),2
Akher Sugar -1kg,B Toilet Tissue Extra Saving Pack 4Rolls,2
Akher Sugar -1kg,Cassia Leaf-100gm (Tespata),2
Akher Sugar -1kg,Center Fresh 20g,2
Akher Sugar -1kg,Cinnamon-100g (Daruchine),2
Akher Sugar -1kg,Confidence Salt-1Kg,2
Akher Sugar -1kg,Cucumber Deshi (kg),2
Akher Sugar -1kg,Dettol Cool Soap -125gm,2
Akher Sugar -1kg,Dettol Fresh Odour protection Lemon-125g,2
Akher Sugar -1kg,Fresh Toilet Value Pack 4 Pcs,2
Akher Sugar -1kg,Garlic China Big-(kg),2
Akher Sugar -1kg,Golden Raisin (Kismis)-200gm,2
Akher Sugar -1kg,Kolson Vermicelli-200g,2
Akher Sugar -1kg,Maggi Noodles Masala Taste-496g,2
Akher Sugar -1kg,Mr.Energy Biscuits-85gm,2
Akher Sugar -1kg,Musur Pulse Kangaroo -1Kg (sp),2
Akher Sugar -1kg,Nescafe Classic Jar-25gm,2
Akher Sugar -1kg,Olympic Salcoti Elachi Cookies-80gm,2
Akher Sugar -1kg,Onion Deshi(New)-kg,2
Akher Sugar -1kg,Pesta Nut-50g,2
Akher Sugar -1kg,Prince Dubli Pulse-1kg,2
Akher Sugar -1kg,Prince Lacha Samai-200g(Pkt),2
Akher Sugar -1kg,Prince Ovaltin Cake(B),2
Akher Sugar -1kg,R. Flavouring Essence Vanilla-28ml,2
Akher Sugar -1kg,Radhuni Vermicili Semai -200g,2
Akher Sugar -1kg,Shrimp Fish Bagda,2
Akher Sugar -1kg,Tomato L.C(kg),2
Akher Sugar -1kg,Wheel Laundry Soap 125g,2
Akher Sugar -2kg,Bas. Kitchen Towels 1Roll,2
Akher Sugar -2kg,Boot Pulse(Broken)1Kg,2
Akher Sugar -2kg,Cardmom-50gm(Alachi),2
Akher Sugar -2kg,Fresh Ins. Noodles Masala (B2G1)-496gm,2
Akher Sugar -2kg,Hot Pran Tomato Sauce-500gm,2
Akher Sugar -2kg,Kaveri Mehendi Cone 2pcs -25g,2
Akher Sugar -2kg,Lassa Special Semai-500g(Pkt),2
Akher Sugar -2kg,Prince Cone Mehedi,2
Akher Sugar -2kg,Prince Lacha Samai-200g(Pkt),2
Akher Sugar -2kg,Radhuni Falooda Mix Vanilla-250gm,2
Akher Sugar -2kg,Radhuni Garam Masala-40gm,2
Akher Sugar -2kg,Special Chinigura Rice-1Kg,2
Akher Sugar -2kg,Sun Chips Tomato Tango-75gm,2
Akher Sugar -2kg,Wheel 2in1 Clean & Fresh Powder-1Kg,2
Akher Sugar -2kg,White Kazu Badam(Special)-100gm,2
Alu Bukhra-100g,Cardmom-50gm(Alachi),2
Alu Bukhra-100g,Kath Badam-100g,2
Alu Bukhra-100g,Mixed Masalla-100gm,2
Alu Bukhra-100g,Radhuni Mejbani Beef masala-68g,2
Alu Bukhra-200gm,White Kazu Badam(Special)-100gm,2
Amra(kg),Gulsha Fish(Small)-(HB),2
Amra(kg),Prince Dubli Pulse-1kg,2
Angelic Fresh 300ml(Citrus),Bashundhara Atta-2kg,2
Angelic Fresh 300ml(Citrus),Fresh Refined Sugar-1000gm,2
Angelic Fresh 300ml(Citrus),Green Chilli(kg),2
Apple Fuji,Grape White Small (IIndian),2
Apple Fuji,Malta (Yellow)-kg,2
Apple Green,Dust Rice(Atob)-1KG,2
Apple Green,Mug Pulse (Sona)-1kg,2
Apple(Gala),Chicken (B-Skin Less),2
Apple(Gala),Grape White Small (IIndian),2
Apple(Gala),Grapes (Red),2
Aquafina Drinking Water- 500ml,Green Chilli(kg),2
Aquafina Drinking Water- 500ml,Teer Masur Dal 1kg,2
Ayir Fish (Small)-(HB),Fresh Soyabean Oil-1Lt.,2
